can1_1|"{0: {'definition': 'used to say that it is possible for somebody/something to do something, or for something to happen', 'examples': ['I can run fast.', 'Can you call back tomorrow?', ""He couldn't answer the question."", 'The stadium can be emptied in four minutes.', ""I can't promise anything, but I'll do what I can."", 'Please let us know if you cannot attend the meeting.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'used to say that somebody knows how to do something', 'examples': ['She can speak Spanish.', 'Can he cook?', 'I could drive a car before I left school.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'used with the verbs ‘feel’, ‘hear’, ‘see’, ‘smell’, ‘taste’', 'examples': ['She could feel a lump in her breast.', 'I can hear music.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 3: {'definition': 'used to show that somebody is allowed to do something', 'examples': ['You can take the car, if you want.', ""We can't wear jeans at work.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 4: {'definition': 'used to ask permission to do something', 'examples': ['Can I read your newspaper?', 'Can I take you home?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 5: {'definition': 'used to ask somebody to help you', 'examples': ['Can you help me with this box?', 'Can you feed the cat, please?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 6: {'definition': 'used to make suggestions', 'examples': ['We can eat in a restaurant, if you like.', 'I can take the car if necessary.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 7: {'definition': 'used in the negative for saying that you are sure something is not true', 'examples': [""That can't be Mary—she's in New York."", ""He can't have slept through all that noise.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 8: {'definition': 'used to express doubt or surprise', 'examples': ['What can they be doing?', 'Can he be serious?', 'Where can she have put it?'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 9: {'definition': 'used to say what somebody/something is often like', 'examples': ['He can be very tactless sometimes.', 'It can be quite cold here in winter.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 10: {'definition': 'used to say that somebody must do something, usually when you are angry', 'examples': ['You can shut up or get out!'], 'extra_examples': [], 'synonyms': [], 'labels': '(informal)', 'grammar': [], 'use': [], 'dis_g': []}}"|/kən/, strong form  /kæn/|/kən/, strong form  /kæn/|modal verb|a1
process1_1|"{0: {'definition': 'a series of things that are done in order to achieve a particular result', 'examples': ['the consultation/planning process', 'Each time we have to go through the whole decision-making process again.', 'Repeat this process until the entire area is tiled.', ""I'm afraid getting things changed will be a slow process."", 'Coming off the drug was a long and painful (= difficult) process for him.', 'mental/cognitive/thought processes', ' process of doing something They began the difficult process of reforming the education system.', ' process for doing something The company has introduced a new process for handling complaints.', 'Find which food you are allergic to by a process of elimination.', "" in the process of doing something We're in the process of selling our house."", ' in the process I was moving some furniture and I twisted my ankle in the process (= while I was doing it).'], 'extra_examples': ['Any design process evolves over time as new information surfaces.', 'As part of the registration process, the applicant will report certain information.', 'Churches are taking a key role in the democratic process.', 'Disputes and negotiations have slowed down the process.', 'I was beginning to understand his thought processes.', 'Protests disrupted the electoral process in the southern region.', 'Students use thinking processes and skills to gain a knowledge of history.', ""The company doesn't have a formal complaints process."", 'The entire process was completed in less than 24 hours.', 'The selection process takes place over a period of two weeks.', 'These processes require careful scheduling.', 'They all have to go through a vetting process.', 'This is part of the process by which musical works are created.', 'a legal process for dealing with defrauders', 'a painstaking process of trial and error', 'a stalemate in the peace process', 'places where the process of urbanization is being reversed', 'the bidding process for media rights', 'the long review process for his application', 'the tedious process of creating receipts and invoices', ""It's a simple process, but it can take some time."", 'This was a complex process involving four or more steps. '], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'a series of things that happen, especially ones that result in natural changes', 'examples': [""It's a normal part of the learning process."", 'The drug has been found to significantly speed up the healing process.', ' during a process During the ageing process, the rum acquires a golden colour.', 'Everything is in a process of change.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'a method of doing or making something, especially one that is used in industry', 'examples': ['manufacturing processes', 'She is involved in the production process from start to finish.', ' process for doing something a new process for rustproofing car bodies'], 'extra_examples': ['Most of the process is automated.', 'His job is to develop new products and processes.', 'The process was invented in the 19th century.', 'They are made using the most advanced manufacturing processes.'], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/ˈprɑːses/|/ˈprəʊses/|noun|a2
process1_2|{0: {'definition': 'to treat raw material, food, etc. in order to change it, preserve it, etc.', 'examples': [' (be) processed Most of the food we buy is processed in some way.', 'Soy bean oil is found in hundreds of processed foods.', 'processed cheese/meats', 'Many of these foods are made from highly processed ingredients.', ' process something into something The berries are processed into juice or sauce.', ' process something for something For many years he grew and processed flax for linen.'], 'extra_examples': ['When food is processed, many of the nutrients are stripped away.', 'The plant is then processed for dye.', 'tobacco specially processed to reduce nicotine', 'highly processed foods'], 'synonyms': [], 'labels': [], 'grammar': '[often passive]', 'use': [], 'dis_g': []}, 1: {'definition': 'to deal officially with a document, request, etc.', 'examples': ['It will take a week for your application to be processed.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[often passive]', 'use': [], 'dis_g': []}, 2: {'definition': 'to perform a series of operations on data in a computer', 'examples': ['The image is processed digitally by computer software.'], 'extra_examples': [], 'synonyms': [], 'labels': '(computing)', 'grammar': '[often passive]', 'use': [], 'dis_g': []}, 3: {'definition': 'to understand the meaning of something that has happened or been said', 'examples': [' process something My brain slowly processed the fact that I was free to leave.', ' process what, how, etc… It was a second later when I fully processed what he had said.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/ˈprɑːses/|/ˈprəʊses/|verb|b2
process2_1|{0: {'definition': 'to walk or move along slowly in, or as if in, a procession', 'examples': ['The bishop, priests and deacons processed slowly through the cathedral.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/prəˈses/|/prəˈses/|verb|
ring1_1|{0: {'definition': 'a piece of jewellery that you wear on your finger, consisting of a round band of gold, silver, etc., sometimes decorated with precious stones', 'examples': ['a gold ring', 'a diamond ring (= a ring with a diamond on it)', 'He was wearing a ring on his middle finger. ', 'Her mother gave her a beautiful ring.'], 'extra_examples': ['He slipped the ring on her finger.', 'I pulled the small ring box out of my pocket.', 'They exchange rings and wedding vows.', 'She kissed the great ring of the archbishop of Chicago.', 'He has earned three Super Bowl rings in the last four years.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 1: {'definition': 'an object in the shape of a circle with a large hole in the middle', 'examples': ['a key ring', 'curtain rings', 'the rings of Saturn', 'The villagers were literally surrounded by a ring of fire.'], 'extra_examples': ['a plate of onion rings', 'His right ear sported a gold ring.', 'He can blow smoke rings.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 2: {'definition': 'a round mark or shape', 'examples': ['She had dark rings around her eyes from lack of sleep.', 'The children sat on the floor in a ring.', 'The army formed a protective ring around the presidential palace. '], 'extra_examples': ['The children formed a ring around their teacher.', 'The street plan of the city has evolved as a series of concentric rings.', 'He had dark rings around his eyes.', 'She drew a neat blue ring around the phone number. '], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 3: {'definition': 'an area in which animals or people perform or compete, with seats around the outside for the audience', 'examples': ['a boxing ring', 'a circus ring', 'The next competitor rode into the ring.'], 'extra_examples': ['He entered the ring wearing his usual outfit.', 'He was back in the ring only a month after the injury.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 4: {'definition': 'a small flat place on a cooker that is heated by gas or electricity and is used for cooking on', 'examples': ['to turn off the gas ring', 'I put the saucepan on the ring.'], 'extra_examples': [], 'synonyms': ['burner'], 'labels': '(especially British English)', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 5: {'definition': 'a group of people who are working together, especially in secret or illegally', 'examples': ['a spy ring', 'a drugs ring'], 'extra_examples': ['The four men are accused of running a drug smuggling ring.', 'Customs officials have broken up a major drug ring.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}}|/rɪŋ/|/rɪŋ/|noun|a2
ring1_2|{0: {'definition': 'to surround somebody/something', 'examples': ['Thousands of demonstrators ringed the building.', 'The basin was ringed with specks of dirt and hair.', 'The village is ringed with beautiful forests.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[often passive]', 'use': [], 'dis_g': []}, 1: {'definition': 'to put a metal ring around a bird’s leg so that it can be easily identified in the future', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'to draw a circle around something', 'examples': ['Ring the correct answer in pencil.'], 'extra_examples': [], 'synonyms': ['circle'], 'labels': '(especially British English)', 'grammar': [], 'use': [], 'dis_g': []}}|/rɪŋ/|/rɪŋ/|verb|
ring2_1|"{0: {'definition': 'to phone somebody/something', 'examples': ["" ring somebody/something up I'll ring you up later."", 'He rang up the police station.', ' ring somebody/something When is the best time to ring New York?', ""I'll ring you later."", 'Concerned residents can write or ring my office. ', 'ring (up) David rang up while you were out.', 'He said he was ringing from London.', ""I'm ringing about your advertisement in the paper."", ""She rang to say she'd be late."", ' ring for something Could you ring for a cab?', 'We rang for an ambulance and he was taken to hospital.'], 'extra_examples': [], 'synonyms': [], 'labels': '(British English)', 'grammar': '[transitive, intransitive]', 'use': [], 'dis_g': []}, 1: {'definition': 'to make a sound because somebody is trying to phone you', 'examples': ['Will you answer the telephone if it rings?', 'The phone rang and rang (= rang for a long time) until eventually someone answered. ', ""I'm just waiting for the phone to ring.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': '(of a phone)'}, 2: {'definition': 'if you ring a bell or if a bell rings, it produces a sound', 'examples': [' ring (something) Someone was ringing the doorbell.', 'The church bells rang.', 'The doorbell rang loudly.', "" ring for somebody/something Just ring for the nurse (= attract the nurse's attention by ringing a bell) if you need her."", 'She climbed out of bed and rang for her maid.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[transitive, intransitive]', 'use': [], 'dis_g': []}, 3: {'definition': 'to be full of a sound; to fill a place with sound', 'examples': [""The house rang with children's laughter."", 'Applause rang through the hall.'], 'extra_examples': [], 'synonyms': ['resound'], 'labels': '(literary)', 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 4: {'definition': 'to be full of a particular quality', 'examples': ['His words rang with pride.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}, 5: {'definition': 'to be uncomfortable and be unable to hear clearly, usually because you have heard a loud noise, etc.', 'examples': ['The music was so loud it made my ears ring.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[intransitive]', 'use': [], 'dis_g': []}}"|/rɪŋ/|/rɪŋ/|verb|a2
ring2_2|{0: {'definition': 'the sound that a bell makes; the act of ringing a bell', 'examples': ['There was a ring at the door.', 'He gave a couple of loud rings on the doorbell.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 1: {'definition': 'a loud, clear sound', 'examples': ['the ring of horse’s hooves on the cobblestones'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[singular]', 'use': [], 'dis_g': []}, 2: {'definition': 'a particular quality that words, sounds, etc. have', 'examples': ['His explanation has a ring of truth about it.', 'Her protestation of innocence had a hollow ring to it (= did not sound sincere).', 'The story had a familiar ring to it (= as if I had heard it before).'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[singular]', 'use': [], 'dis_g': []}}|/rɪŋ/|/rɪŋ/|noun|b1
second1_1|"{0: {'definition': 'happening or coming next after the first in a series of similar things or people; 2nd', 'examples': [""This is the second time it's happened."", 'Italy scored a second goal just after half-time.', 'the second of June/June 2nd', 'He was the second to arrive.', 'We have one child and are expecting our second in July.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'next in order of importance, size, quality, etc. to one other person or thing', 'examples': [""Osaka is Japan's second-largest city."", 'Birmingham, the UK’s second city', 'Basketball is second only to soccer in global popularity.', 'As a dancer, he is second to none (= nobody is a better dancer than he is).'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 2: {'definition': 'another; in addition to one that you already own or use', 'examples': ['They have a second home in Tuscany.', 'teachers of English as a second language (= to people who already speak one or more other languages)'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[only before noun]', 'use': [], 'dis_g': []}}"|/ˈsekənd/|/ˈsekənd/|determiner, ordinal number|a1
second1_2|"{0: {'definition': 'after one other person or thing in order or importance', 'examples': ['She came second in the marathon.', 'One of the smaller parties came a close second (= nearly won).', ""The women's team came in fourth and the men finished second. "", 'I agreed to speak second.', 'He is a writer first and a scientist second.', 'I came second (to) last (= the one before the last one) in the race.', ""We're not here to run second. We want to win races."", 'The club lies second in the Premiership. '], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'used to introduce the second of a list of points you want to make in a speech or piece of writing', 'examples': ['She did it first because she wanted to, and second because I asked her to.'], 'extra_examples': [], 'synonyms': ['secondly'], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/ˈsekənd/|/ˈsekənd/|adverb|a2
second1_3|"{0: {'definition': 'a unit for measuring time. There are 60 seconds in one minute.', 'examples': [' in… seconds She can run 100 metres in just over 11 seconds.', ' for… seconds For several seconds he did not reply.', ' every… seconds The light flashes every five seconds.', ' per second The water flows at about 1.5 metres per second.', 'The end of the game is only a matter of seconds away.', 'Every few seconds, she would turn towards the door.', 'The scene lasts six seconds.', 'He scored with less than 60 seconds on the clock (= less than 60 seconds after the game started).'], 'extra_examples': ['I was counting the seconds until the bell.', ""If he'd reacted a fraction of a second later, he would surely have died."", 'It took a couple of seconds to realize what was going on.', 'She had wasted a few precious seconds.', 'She wanted to spend every second with him.', 'The room seemed to grow hotter with each passing second.', 'The seconds ticked by.'], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 1: {'definition': 'a very short time', 'examples': ["" in a second I'll be with you in a second."", ' in/within seconds They had finished within seconds.', 'He scored again in the dying seconds (= the last few seconds) of the game.', 'He got out with seconds to spare. '], 'extra_examples': [], 'synonyms': ['moment'], 'labels': 'informal', 'grammar': '[countable]', 'use': [], 'dis_g': []}, 2: {'definition': 'a unit for measuring angles. There are 60 seconds in one minute.', 'examples': ['1° 6′ 10″ (= one degree, six minutes and ten seconds)'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 3: {'definition': 'a second amount of the same food that you have just eaten', 'examples': ['Seconds, anybody?'], 'extra_examples': [], 'synonyms': [], 'labels': '(informal)', 'grammar': '[plural]', 'use': [], 'dis_g': []}, 4: {'definition': 'an item that is sold at a lower price than usual because it is not perfect', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable, usually plural]', 'use': [], 'dis_g': []}, 5: {'definition': 'one of six or seven positions of the gears in a vehicle', 'examples': ['to change down from third to second', "" in second When it's icy, move off in second.""], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[uncountable]', 'use': [], 'dis_g': []}, 6: {'definition': 'a level of university degree at British universities. An upper second is a good degree and a lower second is average.', 'examples': ['He got a good second in history.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}, 7: {'definition': 'a person whose role is to help and support somebody else, for example in a boxing match or in a formal duel in the past', 'examples': [], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': '[countable]', 'use': [], 'dis_g': []}}"|/ˈsekənd/|/ˈsekənd/|noun|a1
second1_4|"{0: {'definition': 'to state officially at a meeting that you support another person’s idea, suggestion, etc. so that it can be discussed and/or voted on', 'examples': ['Any proposal must be seconded by two other members of the committee.', "" (informal) ‘Thank God that's finished.’ ‘I'll second that! (= I agree)’"", 'Davis seconded the motion, which was carried unanimously.'], 'extra_examples': [], 'synonyms': [], 'labels': '(informal)', 'grammar': [], 'use': [], 'dis_g': []}}"|/ˈsekənd/|/ˈsekənd/|verb|
second2_1|{0: {'definition': 'to send an employee to another department, office, etc. in order to do a different job for a short period of time', 'examples': [' be seconded (from something) (to something) Each year two teachers are seconded to industry for six months.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/sɪˈkɑːnd/|/sɪˈkɒnd/|verb|
used1_1|"{0: {'definition': 'familiar with something because you do it or experience it often', 'examples': ["" used to doing something I'm not used to eating so much at lunchtime."", ' used to somebody/something doing something He was used to people asking him for autographs.', ""I'm used to things going wrong in my life."", ""I'm so used to answering this question, sometimes it's automatic."", ' used to somebody/something I found the job tiring at first but I soon got used to it.', 'Maybe I just need some time to get used to the idea of being a mother', 'She had gradually grown used to him.'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}"|/juːst/|/juːst/|adjective|b1
used2_1|{0: {'definition': 'that has belonged to or been used by somebody else before', 'examples': ['used cars', 'used books/equipment', 'The board game looked used.'], 'extra_examples': [], 'synonyms': ['second-hand'], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}, 1: {'definition': 'that has already been used', 'examples': ['a used teabag'], 'extra_examples': [], 'synonyms': [], 'labels': [], 'grammar': [], 'use': [], 'dis_g': []}}|/juːzd/|/juːzd/|adjective|b1
